OfficeCode,OfficeName,IsMainOffice
MO,Main Office,YES
SAN,Sta Ignacia,NO
CAM,Camiling,NO
KAL,Kalayaan,NO
CUY,Cuyapo,NO
MON,Moncada,NO
VIC,Victoria,NO
PAN,Paniqui,NO
